100,abr-14,88.81,89.42,54.86,132.20,0.00,14.86,17.68,14.94,15.35,27.61,0.68,8.19
101,mai-14,88.46,80.35,63.39,150.93,0.00,16.54,25.40,28.98,61.76,35.40,0.12,10.63
102,jun-14,61.64,63.78,50.25,120.14,0.00,12.30,16.99,20.71,16.90,30.89,0.75,6.33
103,jul-14,78.17,97.58,61.43,151.79,0.00,14.42,30.63,28.72,24.01,53.98,3.34,56.27
104,ago-14,69.24,101.82,56.88,139.09,0.00,13.12,26.61,29.41,75.70,79.49,0.28,12.24
105,set-14,79.92,100.36,51.30,141.92,0.00,8.17,23.37,35.29,29.78,75.15,0.53,14.92
106,out-14,95.19,82.41,56.37,139.27,0.00,9.72,38.65,52.06,36.72,95.11,0.92,14.51
107,nov-14,83.96,103.06,45.61,117.97,0.00,13.49,38.36,33.20,69.17,66.28,0.28,8.88
108,dez-14,113.23,137.69,56.05,147.70,0.00,9.56,30.30,36.23,18.41,39.04,0.25,9.68
109,jan-15,202.27,197.75,62.41,173.43,0.00,9.90,29.92,39.19,27.51,62.08,0.05,13.40
110,fev-15,103.75,134.25,82.35,214.62,0.00,9.46,29.64,34.25,66.68,36.88,0.11,10.48
111,mar-15,158.44,318.17,133.30,377.33,0.00,14.54,43.79,328.11,23.55,49.06,0.17,12.37
112,abr-15,99.92,222.63,93.84,404.84,0.00,7.40,31.18,41.16,23.63,64.83,0.11,10.22
113,mai-15,224.70,466.61,322.62,1380.25,0.00,16.85,35.64,45.52,37.39,71.31,0.30,10.26
114,jun-15,149.07,352.68,124.34,518.66,0.00,11.79,46.39,59.79,19.26,46.51,0.07,7.75
115,jul-15,108.43,394.13,156.64,542.60,0.00,10.50,45.80,84.97,24.82,68.99,2.99,61.86
116,ago-15,143.73,372.46,186.49,646.15,0.00,29.04,61.64,112.44,104.34,95.58,0.12,16.29
117,set-15,337.17,365.87,183.79,568.45,0.00,62.79,85.11,128.96,45.21,125.56,0.24,18.55
118,out-15,261.56,319.57,125.83,394.21,0.00,22.50,59.64,101.90,38.26,66.18,0.84,11.35
119,nov-15,221.80,317.13,124.20,385.53,0.00,22.93,54.75,107.64,69.64,80.98,0.31,10.18
120,dez-15,314.66,421.59,173.57,629.70,0.00,25.33,73.13,140.53,26.67,65.85,0.35,11.81
121,jan-16,405.45,519.54,199.87,694.07,0.00,28.72,714.19,140.24,33.23,106.54,2.76,61.83
122,fev-16,194.25,367.30,116.02,670.91,0.00,29.37,58.65,149.67,128.89,91.75,1.42,16.28
123,mar-16,194.74,472.68,179.27,871.77,0.00,32.05,103.25,243.08,74.86,303.05,0.04,23.70
124,abr-16,149.39,363.95,134.20,723.78,0.00,17.00,77.05,178.35,56.90,173.81,0.93,17.15
